taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
57,4.28,13.74537,100.53468,13.75815,100.50933,1261,1196,50,0,5.268817204,41,0,1,136
66,0.62,13.74193,100.55333,13.74293,100.5477,1325,1324,0,3,8.857142857,0,1,1,0
67,7.69,13.7422,100.54755,13.68937,100.53395,1324,1633,14,3,36.69230769,4,1,1,81
85,1.57,13.74578,100.5312,13.7326,100.52995,1261,1384,0,6,13.11111111,0,2,0,0
143,2.17,13.74478,100.53562,13.7323,100.53088,1261,1385,0,6,18.90909091,0,2,0,0
319,0,13.74508,100.53057,13.74508,100.53057,1261,1261,0,0,14,0,0,1,0
320,10.78,13.74453,100.5305,13.77827,100.47708,1261,1069,65,0,9.658536585,44,0,1,179
433,0.71,13.73835,100.55863,13.73335,100.55995,1325,1387,0,3,19.33333333,0,2,0,0
631,18.73,13.74127,100.55405,13.705,100.60855,1325,1516,88,21,14.68571429,46,9,6,234
758,11.7,13.7374,100.54283,13.68683,100.48585,1324,1628,0,31,23.19298246,0,13,8,0
876,3.64,13.74342,100.54643,13.7245,100.53978,1324,1385,0,9,22.375,0,5,0,0
1003,2.71,13.75157,100.53662,13.74333,100.55315,1261,1325,0,21,6.789473684,0,14,5,0
1004,2.87,13.7379,100.55132,13.71492,100.5586,1325,1449,7,21,29.28571429,3,14,5,52
1048,1.76,13.75372,100.54192,13.76245,100.53708,1262,1199,0,17,6.787878788,0,12,8,0
1161,0.21,13.75213,100.53693,13.75105,100.53785,1261,1261,0,4,1.428571429,0,4,5,0
1162,13.43,13.75093,100.53813,13.8256,100.52573,1261,764,22,4,38.0952381,4,4,5,116
1194,0.99,13.74187,100.55292,13.74377,100.54423,1325,1324,0,5,8.666666667,0,3,2,0
1195,6.97,13.7438,100.54362,13.79443,100.54958,1324,952,27,5,16.4,14,3,2,97
1239,1.59,13.75402,100.52972,13.74315,100.5283,1260,1322,5,5,23.33333333,1,3,0,41
1243,1.36,13.74375,100.54433,13.75223,100.54143,1324,1262,14,12,6.846153846,10,3,6,58
1244,3.06,13.75403,100.54197,13.75745,100.56518,1262,1202,7,0,24,3,0,0,53
1357,0.19,13.74085,100.55467,13.74187,100.55338,1325,1325,0,4,0.666666667,0,4,6,0
1358,8.46,13.74235,100.55242,13.7601,100.49865,1325,1195,46,4,11.34939759,26,4,6,129
1397,10.55,13.75298,100.54163,13.78198,100.54528,1262,1076,0,39,17.15492958,0,18,3,0
1468,0.04,13.75043,100.53918,13.75003,100.53923,1261,1261,0,0,0,0,0,2,0
1469,2.09,13.74993,100.53942,13.76437,100.53945,1261,1137,11,0,10.6,7,0,2,56
1547,2.05,13.74472,100.54003,13.73053,100.53347,1262,1385,9,5,14.31578947,2,4,0,46
1558,1.05,13.7442,100.55338,13.74043,100.54702,1325,1324,0,3,24,0,1,2,0
1559,9.58,13.73522,100.54622,13.76365,100.49917,1324,1195,28,3,19.63636364,14,1,2,111
1570,7.79,13.74955,100.54512,13.7205,100.53772,1262,1447,0,15,35.62962963,0,3,1,0
1634,3.9,13.74002,100.55635,13.71447,100.56577,1325,1450,16,3,17.71428571,8,2,2,68
1751,0.57,13.73608,100.5462,13.74113,100.5472,1324,1324,0,1,34.66666667,0,0,3,0
1752,1.89,13.7407,100.54707,13.72695,100.5423,1324,1386,11,1,10.7826087,7,0,3,55
1783,1.98,13.74488,100.53688,13.7298,100.53073,1261,1385,0,6,22.15384615,0,3,0,0
1908,4.97,13.74823,100.54073,13.76118,100.53602,1262,1199,0,17,18.75862069,0,9,3,0
1920,1.4,13.74238,100.5522,13.73472,100.54643,1325,1324,0,5,21.33333333,0,1,3,0
1921,2.04,13.73472,100.54643,13.72887,100.53513,1324,1385,9,5,13.29411765,5,1,3,52
1992,4.07,13.74077,100.55473,13.72418,100.53868,1325,1447,0,12,22.3,0,4,1,0
2021,0.4,13.74478,100.53957,13.74448,100.54003,1261,1262,0,3,4.4,0,2,0,0
2022,21.14,13.74495,100.53933,13.61942,100.60978,1261,-1,45,3,32.425,13,2,0,185
2029,1.89,13.74438,100.53378,13.74463,100.53057,1261,1261,0,7,16.46153846,0,3,0,0
2141,0.05,13.74213,100.54775,13.74243,100.54747,1324,1324,1,9,5.333333333,0,8,2,36
2142,15.05,13.73495,100.54605,13.76438,100.50952,1324,1134,0,50,17.80645161,0,18,3,0
2205,1.88,13.74583,100.53068,13.73107,100.53273,1261,1385,0,4,34,0,1,1,0
2304,0,13.74432,100.53407,13.74432,100.53407,1261,1261,0,0,10,0,0,1,0
2305,2.07,13.74433,100.53447,13.72938,100.52975,1261,1384,7,0,15.23076923,4,0,1,50
2388,0.78,13.74573,100.53212,13.74708,100.52508,1261,1260,0,2,20.4,0,0,2,0
2389,5.63,13.74733,100.52407,13.762,100.49812,1260,1195,18,2,18.61111111,5,0,2,71
2538,0,13.73882,100.54305,13.73882,100.54305,1324,1324,0,0,4,0,0,1,0
2539,3.35,13.73882,100.54305,13.73217,100.52977,1324,1384,9,0,23.66666667,4,0,1,57
2642,0.22,13.74138,100.55393,13.74235,100.55213,1325,1325,0,1,5,0,1,3,0
2643,10.77,13.74257,100.55137,13.76525,100.48788,1325,1132,29,1,24.24,20,1,3,131
2651,31.25,13.74143,100.55867,13.69353,100.75008,1325,-1,35,42,52.28070175,2,27,21,239
2682,2.75,13.74928,100.53152,13.74573,100.52475,1261,1260,0,9,20,0,2,1,0
2683,6.89,13.74573,100.52475,13.78253,100.49188,1260,1071,13,9,32.81818182,3,2,1,74
2884,0.15,13.7449,100.53678,13.74527,100.53542,1261,1261,1,9,11.33333333,0,2,0,36
2885,4.04,13.7456,100.5342,13.7231,100.53683,1261,1447,0,10,28.75,0,1,2,0
3051,2.09,13.74445,100.54003,13.73027,100.53555,1262,1385,0,4,15.33333333,0,1,5,0
3064,1.29,13.73792,100.55875,13.74313,100.54842,1325,1324,8,27,8,4,3,0,46
3156,38.3,13.73722,100.54658,13.98313,100.6167,1324,-1,74,0,34.79166667,24,0,1,336
3270,5.3,13.73488,100.54618,13.70968,100.51233,1324,1507,17,39,20.83333333,7,9,3,74
3285,24.13,13.73457,100.54808,13.921,100.60255,1324,214,23,0,34.23529412,1,0,1,183
3309,0.51,13.74587,100.53118,13.74427,100.5307,1261,1261,0,4,6.222222222,0,1,1,0
3310,5.2,13.74427,100.5307,13.77647,100.52073,1261,1074,24,4,12.40909091,12,1,1,83
3511,0.6,13.74405,100.54187,13.745,100.53637,1324,1261,0,4,8,0,3,2,0
3512,18.07,13.745,100.53637,13.84983,100.49695,1261,-1,34,4,33.3442623,10,3,2,158
3577,11.97,13.74513,100.53555,13.6932,100.50628,1261,1630,41,81,17.97222222,17,43,5,132
3754,6.51,13.75183,100.52565,13.723,100.55987,1260,1449,13,0,28.88,2,0,1,70
3814,0.49,13.75382,100.54108,13.7563,100.54035,1262,1200,0,2,15.6,0,1,0,0
3879,0.5,13.74522,100.53785,13.74562,100.53327,1261,1261,5,41,6.2,3,26,14,42
3880,1.86,13.74565,100.53063,13.74018,100.52548,1261,1322,0,5,24.6,0,2,5,0
3893,13.45,13.75055,100.53995,13.82433,100.52425,1261,764,29,14,29,9,6,7,126
4020,0.65,13.74677,100.5404,13.74392,100.54388,1262,1324,0,10,0.952380952,0,9,10,0
4021,80.46,13.74368,100.54483,13.92153,100.60273,1324,214,73,10,57.58823529,8,9,10,661
4222,2.28,13.73513,100.54615,13.72138,100.53453,1324,1447,12,11,11.73913043,6,7,4,55
4335,7.29,13.74598,100.52048,13.69865,100.51378,1260,1569,13,0,29.58333333,3,0,0,77
4384,0.07,13.7458,100.5333,13.74587,100.53395,1261,1261,0,1,5,0,0,0,0
4399,3.06,13.7369,100.54282,13.72118,100.53343,1324,1447,9,50,16.77777778,5,20,7,57
4436,0.25,13.74445,100.53312,13.74415,100.53537,1261,1323,0,1,5.5,0,1,1,0
4463,2.78,13.7451,100.53778,13.7453,100.53065,1261,1261,0,14,9.62962963,0,9,0,0
4492,7.2,13.75348,100.54618,13.72988,100.52355,1262,1384,0,19,26.78787879,0,4,3,0
4516,5.75,13.74283,100.54925,13.73243,100.52892,1324,1384,0,25,17,0,11,1,0
4543,10.8,13.74252,100.55303,13.72717,100.6133,1325,1393,20,2,33.42857143,5,2,2,101
4613,15.68,13.74357,100.54548,13.67838,100.5126,1324,1693,21,71,46.27027027,6,34,0,134
4706,1.77,13.7424,100.55175,13.73637,100.5487,1325,1324,0,3,26,0,0,4,0
4707,2.31,13.73678,100.5488,13.74548,100.53493,1324,1261,12,3,11.15789474,6,0,4,55
4708,1.74,13.74538,100.53353,13.73685,100.52488,1261,1322,4,0,23.25,1,0,0,42
4711,0.67,13.74387,100.55323,13.7415,100.55642,1325,1325,0,2,20.4,0,0,4,0
4712,7.7,13.74007,100.5562,13.74682,100.52852,1325,1260,17,2,29.8125,8,0,4,89
4713,0.14,13.74678,100.52837,13.74708,100.52723,1260,1260,0,1,8.666666667,0,0,2,0
4714,2.84,13.74717,100.52708,13.75033,100.54053,1260,1262,9,1,18.22222222,5,0,2,56
4715,0.17,13.75048,100.5401,13.75092,100.53918,1262,1261,0,6,0.727272727,0,6,6,0
4716,19.95,13.75092,100.53918,13.66262,100.44028,1261,1810,16,6,69.30769231,1,6,6,152
4776,0.06,13.75107,100.53917,13.75093,100.53905,1261,1261,0,2,0,0,2,3,0
4777,4.6,13.7514,100.53713,13.74175,100.55357,1261,1325,11,2,23.54545455,3,2,3,62
4778,5.8,13.7427,100.55012,13.72047,100.52612,1325,1446,0,15,20.55172414,0,7,2,0
4957,3.58,13.7458,100.5203,13.76068,100.51645,1260,1197,15,11,15.86666667,5,2,0,60
4966,9.02,13.75342,100.54178,13.79702,100.55398,1262,953,0,19,32.75862069,0,8,7,0
5019,4.68,13.74543,100.53573,13.72013,100.51575,1261,1445,0,20,14.34285714,0,12,9,0
5021,2.78,13.7442,100.5414,13.74007,100.54933,1324,1324,10,0,17.44444444,3,0,0,52
5022,14.37,13.73903,100.54918,13.75995,100.49895,1324,1195,0,56,17.2,0,13,7,0
5173,2.46,13.74275,100.54945,13.74317,100.54705,1324,1324,0,11,14.21052632,0,3,12,0
5174,17.22,13.7433,100.54628,13.75445,100.61415,1324,1207,44,11,25.4,9,3,12,150
5263,1.35,13.74608,100.52357,13.73623,100.52472,1260,1322,0,4,20,0,1,4,0
5366,0,13.74502,100.53635,13.74502,100.53635,1261,1261,0,0,14,0,0,1,0
5367,4.02,13.74458,100.53587,13.71955,100.5383,1261,1447,7,0,36.92307692,0,0,1,53
5376,1.32,13.73985,100.54927,13.74033,100.54328,1324,1324,0,3,27.25,0,0,5,0
5377,1.19,13.73483,100.54235,13.73947,100.54925,1324,1324,3,3,31,0,0,5,37
5378,0.35,13.74315,100.54722,13.74365,100.54398,1324,1324,0,1,23,0,1,2,0
5379,2.75,13.74368,100.54387,13.72463,100.54037,1324,1386,5,1,35,0,1,2,46
5419,8.73,13.74575,100.53057,13.72883,100.53542,1261,1385,0,64,11.62857143,0,24,1,0
5427,184.82,13.7447,100.53553,14.10158,100.61895,1261,-1,0,242,64.03875969,0,22,182,0
5501,0.4,13.7448,100.53845,13.74545,100.53485,1261,1261,0,7,3.076923077,0,6,12,0
5502,3.26,13.7456,100.53498,13.73668,100.54878,1261,1324,11,7,20,6,6,12,60
5503,10.79,13.7384,100.54907,13.72158,100.5307,1324,1447,0,56,11.78217822,0,36,5,0
5534,1.14,13.73453,100.54843,13.7336,100.53832,1324,1385,5,17,13.33333333,3,7,3,43
5597,0.18,13.74597,100.53253,13.74598,100.53395,1261,1261,0,3,3,0,1,12,0
5598,11.09,13.7455,100.53525,13.74205,100.60632,1261,1330,25,3,27.22727273,8,1,12,109
5609,0.07,13.74595,100.53038,13.74568,100.52975,1261,1260,0,0,3,0,0,0,0
5654,8.85,13.75353,100.54188,13.75712,100.50055,1262,1196,0,28,19.7254902,0,10,0,0
5657,13.11,13.74597,100.53055,13.80787,100.55777,1261,891,31,64,24.47457627,14,40,2,134
5693,15.58,13.74583,100.53348,13.73717,100.66415,1261,1336,34,47,29.48387097,10,28,10,142
5720,1.45,13.74307,100.54857,13.73778,100.54917,1324,1324,0,6,16.44444444,0,1,7,0
5721,1.43,13.73993,100.5494,13.74453,100.54005,1324,1262,6,6,9.272727273,5,1,7,48
5722,3.4,13.745,100.53743,13.72403,100.52163,1261,1446,9,0,22,4,0,1,57
5729,3.32,13.74547,100.53443,13.76083,100.52812,1261,1198,14,1,15.40740741,6,1,0,61
5773,3.7,13.75155,100.53638,13.72897,100.53673,1261,1385,20,16,14.51428571,10,11,6,71
5962,8.66,13.73978,100.55735,13.70528,100.61822,1325,1517,19,5,34.1589404,5,2,2,88
5989,2.42,13.74972,100.54265,13.73473,100.54608,1262,1324,0,8,26.60714286,0,1,3,0
5990,4.86,13.7347,100.54623,13.72455,100.56927,1324,1388,12,8,33.88,1,1,3,59
5997,0.64,13.74157,100.55363,13.74102,100.54952,1325,1324,0,2,18.7,0,0,1,0
5998,9.2,13.7408,100.54935,13.67922,100.53157,1324,1695,17,2,39.90849673,0,0,1,81
6020,3.61,13.74558,100.53527,13.72177,100.52903,1261,1446,14,41,26.31111111,1,6,3,52
6038,8.37,13.74617,100.53323,13.7601,100.48495,1261,1194,17,32,42.336,0,6,2,77
6047,2.75,13.74373,100.54562,13.7403,100.53993,1324,1323,0,4,38.25531915,0,0,3,0
6095,2.33,13.7446,100.5394,13.73025,100.53698,1261,1385,0,8,30.56,0,3,2,0
6097,3.56,13.74598,100.53215,13.74397,100.53543,1261,1323,0,19,34.41176471,0,1,2,0
6116,4.75,13.74303,100.54003,13.74358,100.55863,1324,1325,15,10,26,3,1,1,63
6117,1.82,13.74388,100.55877,13.7372,100.56267,1325,1326,0,14,11.24390244,0,8,2,0
6142,6.8,13.74313,100.54723,13.7352,100.58383,1324,1328,11,27,44.44444444,1,0,2,70
6156,1.7,13.74485,100.53577,13.7304,100.53273,1261,1385,3,39,39.35714286,1,1,8,42
6160,12.42,13.74955,100.54627,13.76173,100.63767,1262,1209,39,88,25.66775244,2,15,3,105
6169,0.1,13.74183,100.5566,13.7412,100.55643,1325,1325,0,1,9.25,0,0,2,0
6170,12.38,13.74093,100.55647,13.74392,100.55335,1325,1325,27,1,36.18719212,10,0,2,121
6171,0.3,13.74352,100.55328,13.74213,100.55177,1325,1325,0,3,8.421052632,0,1,3,0
6172,1.3,13.74157,100.5517,13.74465,100.54185,1325,1262,4,3,20.4516129,1,1,3,40
6173,1.04,13.74448,100.54195,13.7469,100.54803,1262,1262,0,2,37.6,0,1,3,0
6174,18.61,13.74707,100.54812,13.64463,100.58525,1262,-1,26,2,53.53043478,6,1,3,153
6180,10.46,13.74957,100.54623,13.69333,100.52752,1262,1632,28,15,38.94736842,3,2,4,94
6194,5.1,13.74547,100.5353,13.75262,100.49938,1261,1257,20,7,22.07575758,7,1,3,73
6202,3.69,13.74108,100.54335,13.72127,100.5561,1324,1449,12,15,30.1,2,0,1,55
6205,2.2,13.74135,100.5532,13.74017,100.54703,1325,1324,0,14,13.58441558,0,7,6,0
6206,35.7,13.74003,100.54702,13.69347,100.75023,1324,-1,28,14,77.16666667,1,7,6,270
6225,3.75,13.74085,100.55458,13.72818,100.53327,1325,1385,0,10,28.77777778,0,0,3,0
6243,4.92,13.75107,100.53807,13.76525,100.56938,1261,1140,20,42,23.856,5,8,3,68
6267,4.53,13.73735,100.55953,13.76387,100.56178,1325,1202,10,18,32.70967742,1,0,1,57
6277,3.75,13.7369,100.54888,13.72863,100.5362,1324,1385,9,23,28.83116883,0,0,2,51
6286,0.66,13.74295,100.55085,13.7402,100.55592,1325,1325,0,3,17.8,0,1,5,0
6287,8.23,13.73985,100.55627,13.76032,100.55535,1325,1201,18,3,30.43023256,2,1,5,80
6290,1.28,13.74008,100.55567,13.73758,100.54892,1325,1324,0,3,20.27777778,0,0,1,0
6291,2.02,13.73717,100.54888,13.7401,100.54328,1324,1324,5,3,25.70833333,1,0,1,44
6292,2.51,13.7397,100.5432,13.74385,100.54267,1324,1324,0,6,38.3255814,0,0,5,0
6293,10.72,13.74383,100.5419,13.71085,100.61093,1324,1517,17,6,48.42857143,2,0,5,94
6310,0,13.73735,100.55705,13.73735,100.55705,1325,1325,0,0,4,0,0,1,0
6311,6.59,13.73748,100.55707,13.71075,100.6021,1325,1516,21,0,31.49230769,0,0,1,67
6337,24.14,13.7425,100.5515,13.81255,100.72653,1325,908,32,46,54.62,1,25,5,184
6369,4.96,13.73827,100.54907,13.76833,100.5401,1324,1138,10,6,37.38271605,0,1,2,58
6382,0.48,13.74417,100.5403,13.74485,100.53617,1324,1261,0,2,13.25,0,1,2,0
6383,1.71,13.74442,100.53585,13.73023,100.53218,1261,1385,5,2,35.4375,0,1,2,40
6392,0.49,13.7401,100.55357,13.7358,100.5536,1325,1325,0,2,13.45454545,0,0,3,0
6393,8.11,13.73562,100.5536,13.72978,100.53115,1325,1385,43,2,26,9,0,3,93
6400,0.82,13.74082,100.55478,13.74073,100.54937,1325,1324,0,8,13.375,0,5,2,0
6401,2.48,13.74062,100.54948,13.74015,100.53967,1324,1323,6,8,29.8,1,5,2,46
6405,1.97,13.74372,100.54037,13.72842,100.53448,1324,1385,5,26,33.15789474,0,1,0,41
6418,4.19,13.73977,100.55677,13.74585,100.57828,1325,1265,0,12,29.66666667,0,3,4,0
6466,1.12,13.73808,100.55718,13.73577,100.56283,1325,1326,0,7,15.6,0,4,2,0
6470,3.21,13.74168,100.55312,13.73892,100.54927,1325,1324,0,22,15.69811321,0,7,4,0
6471,7.46,13.73917,100.5493,13.75738,100.49932,1324,1195,14,22,34.21138211,1,7,4,74
6482,1.74,13.75073,100.53822,13.74585,100.53357,1261,1261,0,2,53.09090909,0,0,3,0
6483,4.65,13.7454,100.53577,13.71983,100.55903,1261,1449,6,2,64,1,0,3,58
6504,0.2,13.74268,100.54717,13.74122,100.54715,1324,1324,0,1,21.42857143,0,0,1,0
6505,14.2,13.74102,100.54712,13.65863,100.51805,1324,1817,28,1,41.875,2,0,1,117
6522,3.61,13.75162,100.53957,13.7289,100.53503,1261,1385,0,8,42,0,2,3,0
6575,1.07,13.7429,100.55785,13.74305,100.5532,1325,1325,4,3,18.59459459,0,1,1,36
6576,0.03,13.74282,100.55318,13.74255,100.55312,1325,1325,0,0,10,0,0,4,0
6577,23.88,13.74217,100.55288,13.62523,100.63027,1325,-1,24,0,68.21097046,1,0,4,182
6609,9.24,13.74212,100.55295,13.771,100.48368,1325,1132,15,38,54.95652174,0,3,4,81
6643,17.54,13.74245,100.54028,13.67748,100.65492,1324,1707,22,40,54.71361502,1,1,8,137
6646,8.38,13.74278,100.55663,13.73268,100.56512,1325,1388,0,35,22.96491228,0,18,2,0
6660,0.07,13.7465,100.5339,13.74593,100.5339,1261,1261,0,1,4.666666667,0,1,2,0
6661,8.87,13.74537,100.53568,13.68602,100.52392,1261,1632,16,1,46.09160305,2,1,2,83
6670,2.24,13.74415,100.54037,13.72795,100.53217,1324,1385,0,9,30.66666667,0,1,3,0
6686,0.27,13.73965,100.5567,13.73825,100.5587,1325,1325,0,2,12.57142857,0,1,3,0
6687,2.49,13.73788,100.55922,13.75675,100.56487,1325,1202,7,2,27.75862069,0,1,3,44
6708,0.42,13.74765,100.54093,13.74398,100.54032,1262,1324,0,3,20.30769231,0,0,0,0
6709,2.98,13.7438,100.54028,13.7279,100.52573,1324,1384,21,3,19.7826087,4,0,0,55
6712,0.84,13.7423,100.55295,13.74048,100.54753,1325,1324,0,2,20.64,0,0,2,0
6713,2.14,13.74007,100.54703,13.74972,100.55597,1324,1263,7,2,32.34782609,0,0,2,42
6715,2.64,13.74387,100.5429,13.75138,100.52537,1324,1260,15,4,19.71428571,2,0,0,49
6716,0.85,13.75142,100.52552,13.74422,100.5232,1260,1322,0,3,29.6,0,0,0,0
6738,2.47,13.74192,100.55668,13.73207,100.56385,1325,1388,0,12,14.4,0,2,4,0
6766,2.59,13.75408,100.54077,13.75075,100.5387,1262,1261,0,6,27.75,0,1,4,0
6767,5.28,13.75047,100.53907,13.75998,100.49883,1261,1195,15,6,34.2,2,1,4,64
6785,20.08,13.744,100.54243,13.62517,100.60408,1324,-1,22,10,58.73275862,0,3,1,151
6822,13.93,13.73948,100.55663,13.77353,100.46045,1325,1130,29,0,45.33333333,3,0,1,117
6846,15.47,13.7408,100.5545,13.67558,100.51735,1325,1693,27,14,52.02083333,5,10,16,131
6869,0.31,13.74343,100.54032,13.74075,100.53958,1324,1323,0,1,14.72727273,0,0,1,0
6872,10.29,13.73848,100.5584,13.71088,100.63895,1325,1519,21,23,33.84864865,5,12,12,97
6897,0.47,13.74038,100.55518,13.74238,100.55162,1325,1325,0,5,11.73333333,0,4,5,0
6898,6.37,13.74243,100.5515,13.73138,100.52218,1325,1384,12,5,42.65384615,1,4,5,68
6959,8.36,13.7356,100.54238,13.73237,100.58488,1324,1390,17,8,39.79831933,1,0,1,78
6967,0.47,13.74352,100.5533,13.74042,100.55197,1325,1325,3,20,16.42857143,1,12,1,38
6968,7.69,13.74102,100.55183,13.73028,100.53462,1325,1385,0,17,29.89189189,0,3,3,0
6990,0.3,13.74088,100.55675,13.73925,100.55732,1325,1325,0,2,8,0,2,3,0
6991,1.26,13.73923,100.55748,13.7458,100.55485,1325,1263,6,2,13.63157895,2,2,3,41
6993,2.11,13.74027,100.55577,13.74902,100.56183,1325,1264,11,6,18.51428571,4,3,5,50
6995,5.25,13.74253,100.55305,13.72283,100.52957,1325,1446,15,12,25.17142857,1,9,9,61
7033,10.67,13.74045,100.55615,13.72898,100.52382,1325,1384,0,33,26.01219512,0,5,2,0
7067,2.73,13.7414,100.55402,13.72582,100.54398,1325,1386,0,10,24.26315789,0,2,6,0
7122,1.71,13.74948,100.54823,13.7416,100.5399,1262,1323,23,2,19.6,4,0,2,48
7127,2.02,13.74173,100.5518,13.73777,100.54883,1325,1324,0,7,17.08108108,0,1,8,0
7128,14.98,13.73745,100.54898,13.74608,100.6084,1324,1268,48,7,32.14906832,11,1,8,140
7138,4.1,13.7532,100.54002,13.75085,100.5215,1262,1260,10,3,34.07407407,1,2,0,55
7152,6.58,13.73895,100.54957,13.70088,100.53598,1324,1571,20,16,33.62162162,1,5,0,69
7161,5.69,13.74597,100.53138,13.78072,100.52095,1261,1074,12,28,38.5,2,5,2,66
7181,3.42,13.74435,100.54382,13.71997,100.54825,1262,1448,10,26,27.83783784,0,5,4,49
7187,8.77,13.74238,100.55192,13.72225,100.48973,1325,1442,19,9,39.40540541,7,2,6,93
7190,0.72,13.74572,100.53397,13.74228,100.53028,1261,1323,0,2,26,0,0,0,0
7224,1.65,13.75017,100.53963,13.74342,100.54008,1261,1324,0,5,22.0952381,0,0,0,0
7254,0.4,13.74495,100.53833,13.74395,100.53555,1261,1323,0,3,26,0,0,1,0
7287,6.19,13.74148,100.55393,13.74242,100.57252,1325,1327,0,21,29.0877193,0,3,1,0
7292,1.5,13.75232,100.54573,13.74973,100.55582,1262,1263,5,8,26.625,0,1,1,39
7295,1.1,13.74972,100.54263,13.74192,100.53995,1262,1323,0,5,21.41176471,0,0,1,0
7309,6.83,13.73787,100.55847,13.72648,100.52037,1325,1384,0,37,32.48837209,0,0,0,0
7337,5.89,13.74397,100.55337,13.72807,100.53278,1325,1385,0,27,22.38297872,0,14,18,0
7360,4.01,13.74447,100.53572,13.71928,100.52198,1261,1446,18,45,19.8974359,3,3,9,59
7367,14.41,13.73932,100.5571,13.74783,100.65638,1325,1273,31,70,39.47572816,1,17,11,116
7372,2.38,13.7343,100.54238,13.74153,100.53987,1324,1323,0,4,41.33333333,0,0,0,0
7395,7.93,13.74548,100.53563,13.7525,100.50553,1261,1258,18,28,35.21333333,0,7,3,74
7397,2.58,13.7454,100.54398,13.75387,100.52982,1262,1260,15,11,15.35064935,6,0,2,57
7398,4.5,13.75412,100.5291,13.72872,100.53475,1260,1385,0,10,34.175,0,0,4,0
7403,6.04,13.73718,100.5488,13.74173,100.55385,1324,1325,12,24,36.13207547,2,4,3,68
7404,2.07,13.74203,100.55343,13.74277,100.54917,1325,1324,0,9,18.17910448,0,1,5,0
7405,3.33,13.7426,100.54777,13.72038,100.53887,1324,1447,7,9,40.32142857,1,1,5,51
7430,1.75,13.7453,100.52398,13.73555,100.5222,1260,1322,0,4,30.78947368,0,1,2,0
7434,3.56,13.7521,100.53172,13.72823,100.53397,1261,1385,0,13,28.10958904,0,2,8,0
7439,12.87,13.73738,100.55967,13.694,100.48275,1325,1628,25,36,47.67857143,1,7,0,106
7469,5.16,13.74547,100.53515,13.75363,100.49985,1261,1257,12,31,35.22891566,0,0,1,59
7489,13.2,13.74963,100.54495,13.81297,100.54907,1262,890,17,8,56.2987013,2,0,3,110
7502,7.05,13.73917,100.55303,13.74248,100.54738,1325,1324,0,42,15.2970297,0,22,1,0
7503,3.09,13.7423,100.54733,13.7204,100.5378,1324,1447,5,42,44.26086957,1,22,1,49
7506,7.34,13.75142,100.53703,13.7306,100.53722,1261,1385,0,19,35.91935484,0,3,1,0
7569,7.26,13.74338,100.54027,13.7499,100.57795,1324,1265,12,16,41.62831858,1,0,2,72
7671,1.25,13.74147,100.55387,13.7437,100.54282,1325,1324,0,7,23.23529412,0,3,4,0
7672,9.07,13.74373,100.54238,13.77828,100.57323,1324,1079,13,7,47.90625,0,3,4,80
7714,14.1,13.74555,100.53482,13.775,100.6216,1261,1084,21,14,46.08465608,0,0,1,112
7742,53.69,13.74698,100.52705,13.84233,100.71323,1260,721,58,4,64.80669145,1,0,5,412
7747,2.97,13.74982,100.54315,13.72898,100.53593,1262,1385,0,6,33.85185185,0,1,2,0
7761,0.85,13.7538,100.54032,13.75678,100.53857,1262,1199,0,5,14.75,0,1,1,0
7779,0.45,13.74147,100.55498,13.73898,100.55768,1325,1325,0,2,9,0,2,4,0
7780,10.43,13.73907,100.55795,13.67595,100.60742,1325,1702,29,2,31.17021277,6,2,4,100
7784,1.01,13.75278,100.54587,13.7529,100.5496,1262,1262,5,7,13.44444444,4,2,1,44
7785,0.17,13.75293,100.54933,13.75322,100.54782,1262,1262,0,0,27.2,0,0,0,0
7786,3.49,13.75323,100.54758,13.7555,100.52557,1262,1198,7,0,38.47457627,1,0,0,52
7814,16.27,13.74545,100.53507,13.71172,100.42182,1261,1498,24,30,46.17040359,0,0,1,126
7829,0.47,13.74195,100.54722,13.74382,100.5444,1324,1324,0,2,18.61538462,0,1,3,0
7830,2.29,13.74303,100.54395,13.73053,100.55018,1324,1387,9,2,20.55072464,2,1,3,47
7832,2.93,13.73723,100.54882,13.7302,100.5326,1324,1385,8,3,26.95384615,2,0,2,51
7835,0.31,13.75372,100.54102,13.75395,100.54077,1262,1262,0,4,6.588235294,0,3,2,0
7836,5.8,13.75395,100.54085,13.7884,100.52965,1262,1012,14,4,34.56074766,2,3,2,66
7849,3.39,13.74187,100.55682,13.74522,100.55608,1325,1263,17,0,17.44537815,9,0,4,67
7918,0.47,13.73463,100.55368,13.73748,100.55307,1325,1325,0,2,14.82352941,0,0,3,0
7919,42.15,13.7377,100.55308,13.72173,100.77835,1325,1471,42,2,68.12631579,1,0,3,320
7958,3.2,13.75225,100.53852,13.74265,100.55045,1261,1325,0,15,19.4375,0,3,2,0
7959,3.04,13.74278,100.55008,13.72573,100.55025,1325,1387,6,15,32.90566038,1,3,2,49
