taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
30652,0.05,13.74503,100.53812,13.74502,100.53862,1261,1261,0,1,4.666666667,0,1,7,0
30653,6.62,13.7447,100.53862,13.7038,100.50442,1261,1568,31,1,20.84974093,11,1,7,89
30661,0.92,13.74388,100.55668,13.73782,100.55978,1325,1325,0,5,11.48837209,0,1,6,0
30662,1.1,13.73787,100.5597,13.74533,100.55803,1325,1263,3,5,20.23529412,0,1,6,37
30664,1.8,13.73838,100.54292,13.72813,100.53367,1324,1385,4,14,30.45714286,1,3,2,42
30674,28.6,13.73808,100.55943,13.69323,100.75147,1325,-1,40,9,62.53872054,3,7,7,220
30679,0.72,13.73882,100.55763,13.74257,100.55235,1325,1325,0,4,26.73684211,0,2,4,0
30680,0.54,13.74268,100.55182,13.74595,100.55308,1325,1263,4,4,13.63636364,0,2,4,36
30682,5.53,13.74495,100.54798,13.72362,100.52003,1262,1446,28,23,24.88372093,3,10,1,67
30695,0.02,13.74998,100.54207,13.74995,100.54227,1262,1262,0,0,15,0,0,2,0
30696,19.77,13.74995,100.5424,13.76282,100.54392,1262,1200,46,0,36.66298343,7,0,2,163
30700,2.28,13.74987,100.54198,13.74695,100.5278,1262,1260,22,10,16.75949367,7,3,6,57
30701,0.16,13.74677,100.5282,13.74657,100.52963,1260,1260,0,1,6.5,0,0,6,0
30702,4.74,13.74657,100.52997,13.74013,100.55858,1260,1325,19,1,20.88188976,4,0,6,65
30703,0.19,13.73935,100.55842,13.73805,100.55888,1325,1325,0,1,7.818181818,0,1,4,0
30704,1.18,13.73757,100.55958,13.74052,100.5662,1325,1326,7,1,15.90243902,2,1,4,41
30713,1.69,13.7504,100.5395,13.74842,100.53103,1261,1261,0,9,22.34782609,0,0,9,0
30714,0.19,13.748,100.53098,13.74703,100.53188,1261,1261,1,9,15.6,0,0,9,36
30715,0.09,13.7453,100.53783,13.74512,100.53855,1261,1261,0,2,9.2,0,0,6,0
30716,1.04,13.74495,100.53853,13.75062,100.53862,1261,1261,9,2,15.62962963,1,0,6,38
30717,0,13.75075,100.53785,13.75075,100.53785,1261,1261,0,0,10,0,0,0,0
30718,5.02,13.75088,100.53777,13.73943,100.51162,1261,1321,16,0,27.72881356,2,0,0,62
30721,1.76,13.74347,100.54755,13.7461,100.5536,1324,1263,0,7,26.18181818,0,1,4,0
30723,1.64,13.74357,100.54735,13.74695,100.55378,1324,1263,0,16,25,0,0,2,0
30725,1.15,13.74392,100.55667,13.74128,100.55415,1325,1325,0,12,9.608695652,0,7,2,0
30726,0.75,13.74123,100.55423,13.73742,100.55993,1325,1325,2,12,22.2,1,7,2,38
30730,1.41,13.73872,100.55775,13.73482,100.55327,1325,1325,4,15,29.03225806,0,1,9,38
30731,0.21,13.7355,100.55328,13.73735,100.55307,1325,1325,0,1,31.66666667,0,0,1,0
30732,15.35,13.7378,100.55303,13.74225,100.55177,1325,1325,53,1,28.51895044,11,0,1,142
30733,0.91,13.74173,100.55203,13.73788,100.54922,1325,1324,0,5,13.6,0,2,3,0
30734,6.56,13.7379,100.54917,13.71038,100.52412,1324,1508,41,5,32.20143885,5,2,3,77
30742,0.19,13.74538,100.53492,13.7465,100.53375,1261,1261,2,14,7.5,1,9,7,38
30743,0.18,13.74597,100.53383,13.74608,100.53397,1261,1261,0,8,3.6,0,7,15,0
30744,13.95,13.74518,100.53538,13.72278,100.51812,1261,1445,65,8,23.34190231,29,7,15,169
30747,3.36,13.74342,100.54635,13.73783,100.55965,1324,1325,16,11,18.45454545,4,4,8,57
30749,8.91,13.74697,100.54802,13.72548,100.53363,1262,1385,36,17,25.01369863,6,3,9,92
30762,3.01,13.7413,100.55415,13.74108,100.5432,1325,1324,0,8,26.76190476,0,0,7,0
30763,2.27,13.74102,100.5432,13.72613,100.54307,1324,1386,9,8,27.92592593,1,0,7,45
30767,1.74,13.74,100.5562,13.7311,100.56902,1325,1388,14,2,19.5,7,0,4,54
30771,0.64,13.74118,100.55478,13.73793,100.55947,1325,1325,0,3,16.4,0,1,5,0
30772,33.19,13.73803,100.55953,13.69342,100.7502,1325,-1,34,3,63.85443038,4,1,5,257
30778,8.04,13.74165,100.54547,13.74662,100.58473,1324,1266,16,17,34.8627451,2,1,4,79
30780,19.12,13.74363,100.54615,13.73023,100.53245,1324,1385,50,16,36.46892655,2,1,0,149
30798,1.6,13.73568,100.54477,13.74043,100.5432,1324,1324,5,14,23,2,3,1,43
30799,1.41,13.74035,100.5431,13.73717,100.54642,1324,1324,0,5,22.13636364,0,0,2,0
30800,5.93,13.73728,100.54643,13.70515,100.53132,1324,1509,23,5,29.16176471,6,0,2,75
30808,1.43,13.74243,100.55265,13.74317,100.55667,1325,1325,12,9,15.30909091,3,1,2,44
30809,0.7,13.74372,100.55678,13.7445,100.55338,1325,1263,0,4,13.51724138,0,1,3,0
30811,0.18,13.74365,100.5532,13.74243,100.55253,1325,1325,0,3,16.66666667,0,0,3,0
30812,1.08,13.74275,100.55105,13.74275,100.5566,1325,1325,9,3,17.85,0,0,3,36
30813,1.1,13.74292,100.55642,13.74258,100.55305,1325,1325,0,5,14.09302326,0,2,1,0
30814,1.53,13.74232,100.55292,13.74072,100.55285,1325,1325,15,5,15.65957447,2,2,1,43
30815,0.51,13.74083,100.55245,13.74303,100.54928,1325,1324,0,2,16.21052632,0,0,0,0
30816,2.58,13.74322,100.54895,13.74248,100.53183,1324,1323,17,2,17.16923077,2,0,0,49
30818,5.64,13.7453,100.5358,13.72393,100.5499,1261,1448,24,6,19.97560976,7,1,10,76
30820,7.17,13.74457,100.54417,13.70455,100.5049,1262,1506,43,21,19.57894737,19,3,9,108
30825,1,13.74982,100.54808,13.74763,100.5408,1262,1262,0,2,26.54545455,0,0,3,0
30826,1.9,13.74753,100.54077,13.74552,100.53455,1262,1261,11,2,15.15625,7,0,3,55
30827,0.73,13.74557,100.53482,13.74458,100.5414,1261,1262,0,4,25.5,0,0,1,0
30828,2.67,13.74638,100.5409,13.72952,100.53045,1262,1385,9,4,29.5862069,0,0,1,45
30835,3.21,13.74233,100.55182,13.73032,100.53452,1325,1385,0,8,31.6875,0,1,3,0
30852,0.69,13.74268,100.55128,13.74405,100.55323,1325,1325,6,5,15.42857143,4,1,3,44
30853,0.97,13.74382,100.55322,13.73855,100.55818,1325,1325,0,10,11,0,3,10,0
30854,0.06,13.73863,100.55842,13.73825,100.55877,1325,1325,1,10,5,1,3,10,38
30855,2.31,13.7381,100.55892,13.7378,100.55978,1325,1325,0,15,13.58762887,0,2,10,0
30856,1.82,13.73778,100.5598,13.7437,100.55305,1325,1325,8,15,16.95238095,3,2,10,47
30857,0.14,13.74233,100.55268,13.7426,100.55143,1325,1325,0,0,29,0,0,1,0
30858,3.46,13.74272,100.55103,13.75365,100.53945,1325,1261,33,0,12.10526316,14,0,1,78
30859,0.69,13.75373,100.5391,13.751,100.53835,1261,1261,0,8,12.06060606,0,4,8,0
30860,0.11,13.75092,100.53853,13.75048,100.53947,1261,1261,1,8,7.333333333,1,4,8,38
30861,0.74,13.75038,100.53967,13.74485,100.54077,1261,1262,0,5,18.38461538,0,3,6,0
30862,1.33,13.74452,100.54102,13.74665,100.54925,1262,1262,10,5,14.08163265,0,3,6,38
